Year,Primary
1391,86.29687428
1392,86.2872541
1393,86.27763391
1394,86.26819253
1395,86.25868559
1396,86.24925613
1397,86.23973727
1398,86.23011112
1399,86.22059226
1400,86.2110734
1401,86.19986176
1402,86.18802428
1403,86.17653847
1404,86.16486192
1405,86.15312576
1406,86.1412406
1407,86.12939119
1408,86.11763716
1409,86.10594273
1410,86.09429598
1411,86.08243465
1412,86.07065082
1413,86.05891466
1414,86.04717255
1415,86.03531122
1416,86.02373004
1417,86.01198196
1418,86.00005507
1419,85.98824143
1420,85.97623706
1421,85.96455455
1422,85.95294356
1423,85.9408915
1424,85.92889905
1425,85.91686487
1426,85.90493202
1427,85.89274883
1428,85.88088155
1429,85.86906791
1430,85.85714102
1431,85.84519029
1432,85.83312631
1433,85.8212769
1434,85.80930829
1435,85.79734564
1436,85.78561544
1437,85.77387929
1438,85.7619822
1439,85.75006127
1440,85.73831916
1441,85.72642803
1442,85.71454287
1443,85.70280075
1444,85.69104075
1445,85.67919731
1446,85.66726446
1447,85.65556407
1448,85.64392924
1449,85.63193083
1450,85.61998606
1451,85.60815454
1452,85.59629321
1453,85.5846405
1454,85.57296395
1455,85.56133509
1456,85.5497241
1457,85.53819656
1458,85.52663922
1459,85.51489115
1460,85.50314903
1461,85.49140692
1462,85.47968268
1463,85.46801209
1464,85.45619249
1465,85.44432521
1466,85.43264866
1467,85.42119265
1468,85.40967703
1469,85.39807796
1470,85.38630605
1471,85.37442088
1472,85.36263704
1473,85.35101414
1474,85.33918262
1475,85.3271842
1476,85.31491756
1477,85.30257344
1478,85.29046178
1479,85.27826667
1480,85.26605964
1481,85.25370359
1482,85.24129987
1483,85.22893786
1484,85.21659374
1485,85.20442843
1486,85.19206047
1487,85.17964482
1488,85.16734838
1489,85.15518904
1490,85.14284492
1491,85.13069153
1492,85.11813879
1493,85.10580063
1494,85.09356976
1495,85.08133888
1496,85.06904244
1497,85.05674601
1498,85.04427671
1499,85.03196239
1500,85.01969576
1501,85.00638604
1502,84.99262333
1503,84.97872353
1504,84.96496677
1505,84.95101333
1506,84.9373281
1507,84.92366672
1508,84.91000533
1509,84.89648104
1510,84.88283157
1511,84.86907482
1512,84.85549092
1513,84.84190106
1514,84.82830524
1515,84.81460214
1516,84.80108976
1517,84.78745818
1518,84.77379084
1519,84.76020694
1520,84.74660516
1521,84.73303318
1522,84.71913338
1523,84.70552564
1524,84.69194174
1525,84.67839956
1526,84.66472626
1527,84.65115428
1528,84.63773727
1529,84.62414145
1530,84.61047411
1531,84.59690213
1532,84.58313942
